epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
123,20022.7,1.05332,0.51982,1.232,0.72271,0.63459,0.69814,0.37876,1.59261,0.76402,1.59838,0.0072807,0.0024269,0.0072807,0.0024269,0.0072807,0.0024269,0.0072807,0.0024269
124,20181.3,1.04653,0.51623,1.22444,0.71938,0.63568,0.69599,0.37867,1.59322,0.76532,1.59934,0.00706211,0.00235404,0.00706211,0.00235404,0.00706211,0.00235404,0.00706211,0.00235404
125,20340.1,1.04378,0.51207,1.2199,0.71698,0.637,0.69674,0.37823,1.59417,0.76558,1.60009,0.00684599,0.002282,0.00684599,0.002282,0.00684599,0.002282,0.00684599,0.002282
126,20499.6,1.03865,0.51019,1.22036,0.71593,0.63763,0.6964,0.37807,1.59568,0.76612,1.60153,0.00663239,0.0022108,0.00663239,0.0022108,0.00663239,0.0022108,0.00663239,0.0022108
127,20658.7,1.0311,0.50362,1.21798,0.71585,0.63735,0.69582,0.37775,1.59647,0.76686,1.60233,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
128,20818.6,1.02761,0.50236,1.21605,0.71417,0.63805,0.69561,0.37767,1.5977,0.76745,1.603,0.00621305,0.00207102,0.00621305,0.00207102,0.00621305,0.00207102,0.00621305,0.00207102
129,20977.8,1.01534,0.49433,1.20783,0.71755,0.63532,0.69548,0.37752,1.59849,0.76871,1.60392,0.00600743,0.00200248,0.00600743,0.00200248,0.00600743,0.00200248,0.00600743,0.00200248
130,21136.6,1.01661,0.49432,1.20439,0.71764,0.63519,0.6947,0.37724,1.60003,0.76942,1.60531,0.00580459,0.00193486,0.00580459,0.00193486,0.00580459,0.00193486,0.00580459,0.00193486
131,21295.3,1.00918,0.49515,1.20369,0.72356,0.63212,0.69523,0.37734,1.60054,0.77074,1.60595,0.0056046,0.0018682,0.0056046,0.0018682,0.0056046,0.0018682,0.0056046,0.0018682
132,21454.5,1.00341,0.4843,1.19428,0.72129,0.63164,0.69511,0.37711,1.60121,0.77256,1.60656,0.00540752,0.00180251,0.00540752,0.00180251,0.00540752,0.00180251,0.00540752,0.00180251
133,21613.8,0.99386,0.47798,1.18888,0.72324,0.63028,0.6957,0.37711,1.60243,0.77342,1.60747,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378
134,21773.4,0.98875,0.47895,1.18721,0.72275,0.62847,0.6951,0.37677,1.60338,0.77439,1.60853,0.00502232,0.00167411,0.00502232,0.00167411,0.00502232,0.00167411,0.00502232,0.00167411
135,21933.3,0.98227,0.47164,1.17965,0.72332,0.62816,0.69464,0.37658,1.60401,0.77634,1.60916,0.00483432,0.00161144,0.00483432,0.00161144,0.00483432,0.00161144,0.00483432,0.00161144
136,22092.2,0.97934,0.4674,1.1746,0.72611,0.62602,0.69398,0.37616,1.60491,0.77785,1.60993,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
137,22252,0.97156,0.46438,1.17179,0.72677,0.62455,0.69351,0.37594,1.60593,0.77948,1.61129,0.0044678,0.00148927,0.0044678,0.00148927,0.0044678,0.00148927,0.0044678,0.00148927
138,22411.6,0.96864,0.4663,1.17148,0.72736,0.6238,0.69297,0.37586,1.60715,0.78118,1.61235,0.0042894,0.0014298,0.0042894,0.0014298,0.0042894,0.0014298,0.0042894,0.0014298
139,22570.3,0.96257,0.45997,1.17036,0.73945,0.61754,0.69327,0.37575,1.60875,0.78278,1.61389,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143
140,22730.1,0.96008,0.45794,1.16731,0.73558,0.62032,0.6917,0.37537,1.6097,0.78486,1.61485,0.00394256,0.00131419,0.00394256,0.00131419,0.00394256,0.00131419,0.00394256,0.00131419
141,22889.7,0.95053,0.45294,1.16395,0.74237,0.6129,0.69171,0.37503,1.61034,0.7864,1.61582,0.00377424,0.00125808,0.00377424,0.00125808,0.00377424,0.00125808,0.00377424,0.00125808
142,23049,0.9451,0.45227,1.15887,0.74395,0.61213,0.6917,0.3748,1.61179,0.78794,1.61753,0.00360938,0.00120313,0.00360938,0.00120313,0.00360938,0.00120313,0.00360938,0.00120313
143,23207.8,0.94017,0.44902,1.15675,0.74637,0.6113,0.69119,0.37453,1.61326,0.78962,1.61953,0.00344804,0.00114935,0.00344804,0.00114935,0.00344804,0.00114935,0.00344804,0.00114935
144,23367.4,0.93269,0.44433,1.15132,0.74935,0.60975,0.69064,0.37439,1.61446,0.79169,1.6211,0.00329026,0.00109675,0.00329026,0.00109675,0.00329026,0.00109675,0.00329026,0.00109675
145,23526.7,0.92232,0.43868,1.14861,0.7416,0.61376,0.69118,0.37398,1.61525,0.79368,1.6222,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
146,23685.4,0.92135,0.43677,1.14392,0.74033,0.61423,0.6904,0.37383,1.61659,0.79556,1.62356,0.00298559,0.000995197,0.00298559,0.000995197,0.00298559,0.000995197,0.00298559,0.000995197
147,23844.3,0.92828,0.44231,1.14755,0.74838,0.61063,0.68928,0.37351,1.61741,0.79717,1.62487,0.00283879,0.000946264,0.00283879,0.000946264,0.00283879,0.000946264,0.00283879,0.000946264
148,24003,0.91583,0.43547,1.14136,0.74545,0.61212,0.68924,0.3733,1.61785,0.79937,1.62601,0.00269574,0.000898581,0.00269574,0.000898581,0.00269574,0.000898581,0.00269574,0.000898581
